two_layer_experiments.py
Python 3.12.8 on Windows-11-10.0.26200-SP0 | seed=20060626 | 2026-06-17
preset=thorough | exp1 configs=250 random=50000 | exp2 sizes=(4, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48) reps=20 | exp3 trials=40
Dimensions d = 4  ('proto', 'src', 'dst', 'dport')

==========================================================================
EXPERIMENT 1  Correctness of Phi vs brute force
  (a) exhaustive over SMALL domain (8192 pkts)  (b) random over MEDIUM domain (~33.5M)
==========================================================================
Config  k   t   exhaustive  random  exh mism  rnd mism  anom mism  |Phi|S
-------------------------------------------------------------------------
cfg0    7   9   8192        50000   0         0         0          100   
cfg1    8   8   8192        50000   0         0         0          17    
cfg2    8   7   8192        50000   0         0         0          17    
cfg3    7   8   8192        50000   0         0         0          89    
cfg4    10  10  8192        50000   0         0         0          93    
cfg5    8   8   8192        50000   0         0         0          39    
cfg6    8   6   8192        50000   0         0         0          22    
cfg7    6   7   8192        50000   0         0         0          9     
cfg8    9   7   8192        50000   0         0         0          22    
cfg9    6   8   8192        50000   0         0         0          32    
cfg10   8   10  8192        50000   0         0         0          52    
cfg11   5   9   8192        50000   0         0         0          11    
cfg12   10  5   8192        50000   0         0         0          6     
cfg13   8   7   8192        50000   0         0         0          17    
cfg14   5   6   8192        50000   0         0         0          10    
cfg15   9   8   8192        50000   0         0         0          18    
cfg16   6   8   8192        50000   0         0         0          27    
cfg17   6   9   8192        50000   0         0         0          8     
cfg18   6   8   8192        50000   0         0         0          35    
cfg19   10  6   8192        50000   0         0         0          16    
cfg20   8   6   8192        50000   0         0         0          26    
cfg21   4   9   8192        50000   0         0         0          50    
cfg22   7   8   8192        50000   0         0         0          32    
cfg23   8   7   8192        50000   0         0         0          34    
cfg24   5   6   8192        50000   0         0         0          12    
cfg25   5   8   8192        50000   0         0         0          38    
cfg26   5   8   8192        50000   0         0         0          26    
cfg27   10  7   8192        50000   0         0         0          66    
cfg28   5   5   8192        50000   0         0         0          8     
cfg29   5   10  8192        50000   0         0         0          39    
cfg30   9   10  8192        50000   0         0         0          25    
cfg31   7   8   8192        50000   0         0         0          32    
cfg32   4   4   8192        50000   0         0         0          4     
cfg33   8   8   8192        50000   0         0         0          25    
cfg34   9   5   8192        50000   0         0         0          4     
cfg35   4   10  8192        50000   0         0         0          0     
cfg36   4   8   8192        50000   0         0         0          5     
cfg37   7   6   8192        50000   0         0         0          48    
cfg38   4   10  8192        50000   0         0         0          50    
cfg39   10  8   8192        50000   0         0         0          34    
cfg40   7   6   8192        50000   0         0         0          9     
cfg41   8   5   8192        50000   0         0         0          17    
cfg42   10  8   8192        50000   0         0         0          65    
cfg43   6   9   8192        50000   0         0         0          15    
